,model,horizon,metric,value
0,ARIMA-AIC,6,mse,3.322989563545908
1,ARIMA-AIC,12,mse,12.460745853871574
2,ARIMA-AIC,18,mse,19.54296931925254
3,ARIMA-AIC,24,mse,21.06074405630051
4,ARIMA-AIC,6,rmse,1.8229068993083295
5,ARIMA-AIC,12,rmse,3.5299781662032377
6,ARIMA-AIC,18,rmse,4.420743073200764
7,ARIMA-AIC,24,rmse,4.589198628987474
8,ARIMA-AIC,6,mae,1.6538161449350575
9,ARIMA-AIC,12,mae,3.1229097980976213
10,ARIMA-AIC,18,mae,4.008118278256787
11,ARIMA-AIC,24,mae,4.260622468129227
12,ARIMA-BIC,6,mse,2.297537038700158
13,ARIMA-BIC,12,mse,10.535945447951383
14,ARIMA-BIC,18,mse,17.922015083666462
15,ARIMA-BIC,24,mse,19.65177073271427
16,ARIMA-BIC,6,rmse,1.515762857012982
17,ARIMA-BIC,12,rmse,3.2459121134053186
18,ARIMA-BIC,18,rmse,4.23344010039902
19,ARIMA-BIC,24,rmse,4.43303177664161
20,ARIMA-BIC,6,mae,1.3350407070681911
21,ARIMA-BIC,12,mae,2.804157258333985
22,ARIMA-BIC,18,mae,3.7646376500086842
23,ARIMA-BIC,24,mae,4.058817719091366
