,model,horizon,metric,value
0,LSTM,6,mse,0.1517938298008039
1,LSTM,12,mse,0.4569642974276425
2,LSTM,18,mse,0.6252047390425247
3,LSTM,24,mse,1.785924945830617
4,LSTM,6,rmse,0.3896072763704547
5,LSTM,12,rmse,0.6759913441957985
6,LSTM,18,rmse,0.7906988927793719
7,LSTM,24,rmse,1.3363850290356507
8,LSTM,6,mae,0.288558722411405
9,LSTM,12,mae,0.465841595769316
10,LSTM,18,mae,0.5561712536546903
11,LSTM,24,mae,0.9029927581099614
12,DNN,6,mse,0.06124754131103935
13,DNN,12,mse,0.203738170929591
14,DNN,18,mse,0.30732916331060484
15,DNN,24,mse,0.5531588896857529
16,DNN,6,rmse,0.24748240606362173
17,DNN,12,rmse,0.4513736489091837
18,DNN,18,rmse,0.5543727656645886
19,DNN,24,rmse,0.7437465224696872
20,DNN,6,mae,0.21666681515859917
21,DNN,12,mae,0.3569662251657939
22,DNN,18,mae,0.44580683885341377
23,DNN,24,mae,0.6085035648443361
24,RNN,6,mse,0.00852150854650126
25,RNN,12,mse,0.01741848616597853
26,RNN,18,mse,0.020404406197514408
27,RNN,24,mse,0.021991259264840145
28,RNN,6,rmse,0.09231201734607071
29,RNN,12,rmse,0.13197911261248324
30,RNN,18,rmse,0.14284399251461158
31,RNN,24,rmse,0.14829450180246112
32,RNN,6,mae,0.0806935249217271
33,RNN,12,mae,0.10506198548890595
34,RNN,18,mae,0.1153539261899969
35,RNN,24,mae,0.12177965717679447
36,CNN,6,mse,0.4390312497845916
37,CNN,12,mse,0.3366664857115101
38,CNN,18,mse,0.2436486729401791
39,CNN,24,mse,0.24723705063774845
40,CNN,6,rmse,0.6625943327440944
41,CNN,12,rmse,0.5802296835835875
42,CNN,18,rmse,0.49360781288405386
43,CNN,24,rmse,0.49722937427081726
44,CNN,6,mae,0.6256887915909233
45,CNN,12,mae,0.5021940522861779
46,CNN,18,mae,0.4019349862902216
47,CNN,24,mae,0.4192934790685485
